filenameΓtextΓdateΓlemmaΓclean_lem
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\seguranca_urbana-guarda_civil\2017-01-06-7-63.txtΓ"








       GCM prende em flagrante homem pichando a sede da Prefeitura     6/01/2017  Na tarde do último sábado, 14, as câmeras de videomonitoramento operadas pela Guarda Civil Metropolitana no Edifício Matarazzo, sede da Prefeitura de São Paulo, flagraram um homem pichando uma das laterais do prédio. Uma equipe imediatamente foi ao local e prendeu o infrator. Com o homem foram encontradas três latas de tinta spray. A ocorrência foi conduzida ao DEIC, onde foi instaurado inquérito policial.
"Γ6/01/2017ΓGCM prender em flagrante homem pichar o sede de o prefeitura 6/01/2017 em o tarde de o último sábado , 14 , o câmera de videomonitoramento operar por o Guarda Civil Metropolitana em o Edifício Matarazzo , sede de o prefeitura de São Paulo , flagrar um homem pichar um de o lateral de o prédio . um equipe imediatamente ser a o local e prender o infrator . com o homem ser encontrar três lata de tinta spray . o ocorrência ser conduzido a o DEIC , onde ser instaurar inquérito policial .Γgcm prender flagrante homem pichar sede tarde ultimo camera videomonitoramento operar guarda civil metropolitana edificio matarazzo sede flagrar homem pichar lateral predio equipe imediatamente ser prender infrator homem ser encontrar tres lata tinta spray ocorrencia ser conduzido deic onde ser instaurar inquerito policial
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\seguranca_urbana-guarda_civil\2017-01-09-7-62.txtΓ"








   Guarda Civil Metropolitana prende homem com arma automática  Ação aconteceu na manhã do último sábado (28) na região da Praça 14 Bis
    9/01/2017  Uma equipe da GCM – Guarda Civil Metropolitana, designada para o Programa de Proteção ao Controle do Espaço Público, realizou na manhã do último sábado (28), a prisão de um homem de 22 anos portando uma pistola semiautomática (modelo Five Seven, calibre 5.7) com 15 munições de alta potência, capazes de perfurar até colete balístico. A ocorrência aconteceu quando a equipe realizava uma ronda na Praça 14 Bis, na região da Bela Vista. A Guarda foi acionada por munícipes que estavam em um restaurante na região e visualizaram quando o homem apontou a arma para clientes do local.
"Γ9/01/2017ΓGuarda Civil Metropolitana prender homem com arma automático ação acontecer em o manhã de o último sábado ( 28 ) em o região de o Praça 14 Bis 9/01/2017 um equipe de o GCM – Guarda Civil Metropolitana , designar para o Programa de Proteção a o Controle de o Espaço Público , realizar em o manhã de o último sábado ( 28 ) , o prisão de um homem de 22 ano portar um pistola semiautomático ( modelo Five Seven , calibre 5.7 ) com 15 munição de alto potência , capaz de perfurar até colete balístico . o ocorrência acontecer quando o equipe realizar um ronda em o Praça 14 Bis , em o região de o Bela Vista . o Guarda ser acionar por munícipe que estar em um restaurante em o região e visualizar quando o homem apontar o arma para cliente de o local .Γguarda civil metropolitana prender homem arma automatico acao acontecer manha ultimo regiao praca bis equipe gcm - guarda civil metropolitana designar programa protecao controle espaco publico realizar manha ultimo prisao homem ano portar pistola semiautomatico modelo five seven calibre municao alto potencia capaz perfurar ate colete balistico ocorrencia acontecer equipe realizar ronda praca bis regiao bela vista guarda ser acionar municipe estar restaurante regiao visualizar homem apontar arma cliente
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\seguranca_urbana-guarda_civil\2017-02-02-6-57.txtΓ"








