filenameΓtextΓdateΓlemmaΓclean_lem
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\cultura\2013-01-03-355-3537.txtΓ"








   Programa de Fomento à Dança tem inscrições abertas até 31 de janeiro  14ª edição do Programa Municipal de Fomento à Dança para a Cidade de São Paulo tem inscrições abertas entre os dias 2 e 31 de janeiro de 2013     3/01/2013 
"Γ3/01/2013ΓPrograma de Fomento a o Dança ter inscrição aberto até 31 de janeiro 14ª edição de o Programa Municipal de Fomento a o Dança para o Cidade de São Paulo ter inscrição aberto entre o dia 2 e 31 de janeiro de 2013 3/01/2013Γprograma fomento danca ter inscricao aberto ate janeiro edicao programa municipal fomento danca ter inscricao aberto dia janeiro
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\cultura\2013-01-04-355-3531.txtΓ"








       Juca Ferreira recebe representantes de blocos e cordões carnavalescos  Encontro ocorreu hoje de manhã, na sede da Secretaria Municipal de Cultura    4/01/2013 
"Γ4/01/2013ΓJuca Ferreira receber representante de bloco e cordão carnavalesco Encontro ocorrer hoje de manhã , em o sede de o Secretaria Municipal de Cultura 4/01/2013Γjuca ferreira receber representante bloco cordao carnavalesco encontro ocorrer hoje manha sede municipal cultura
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\cultura\2013-01-04-355-3533.txtΓ"








   No dia 25 de janeiro, Pavilhão das Culturas Brasileiras inaugura exposição 'Design da Periferia'  A partir das 11h, o espaço expositivo localizado no Parque Ibirapuera traz itens de sua coleção selecionados a partir da curadoria de Adélia Borges. O objetivo é dar visibilidade a inventividade do povo brasileiro    4/01/2013 
"Γ4/01/2013Γem o dia 25 de janeiro , Pavilhão de o Culturas Brasileiras inaugurar exposição ' Design de o Periferia ' a partir de o 11h , o espaço expositivo localizar em o Parque Ibirapuera trazer item de seu coleção selecionar a partir de o curadoria de Adélia Borges . o objetivo ser dar visibilidade o inventividade de o povo brasileiro 4/01/2013Γdia janeiro pavilhao culturas brasileiras inaugurar exposicao design periferia partir h espaco expositivo localizar parque ibirapuera trazer item colecao selecionar partir curadoria adelia borges objetivo ser dar visibilidade inventividade povo brasileiro
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\cultura\2013-01-04-355-3536.txtΓ"








       Juca Ferreira e Calil realizam rito interno de passagem na Secretaria de Cultura  Equipes do ex-secretário municipal de Cultura, Calil, e do atual, Juca Ferreira, reuniram-se com os gestores da Secretaria de Cultura para marcar a transição de governo    4/01/2013 
