filenameΓtextΓdateΓlemmaΓclean_lem
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\seguranca_urbana-defesa_civil\2018-12-01-1-4.txtΓ"








       Defesa Civil remove destroços de avião que caiu na Zona Norte de SP  Defesa Civil remove destroços de avião que caiu na Zona Norte de SP     1/12/2018    A Defesa Civil do Município na manhã de sábado (01) realizou a remoção total dos destroços do avião que caiu após decolagem do Campo de Marte na tarde do dia 30, na zona norte da capital. Três imóveis foram interditados, os números 259 e 261 (mesma casa), 269 e, por precaução, o 273. A interdição será mantida até nova avaliação. Uma equipe de limpeza foi ao local nesse domingo (2).   Após nova vistoria realizada pela Defesa Civil, na manhã desta quinta-feira (13), apenas o prédio que foi atingido pelo incêndio segue interditado por causa de dano estrutural. Os outros prédios foram liberados após a dispersão da fumaça.  
"Γ1/12/2018ΓDefesa Civil remover destroço de avião que cair em o Zona Norte de SP Defesa Civil remover destroço de avião que cair em o Zona Norte de SP 1/12/2018 o Defesa Civil de o Município em o manhã de sábado ( 01 ) realizar o remoção total de o destroço de o avião que cair após decolagem de o Campo de Marte em o tarde de o dia 30 , em o zona norte de o capital . três imóvel ser interditar , o número 259 e 261 ( mesmo casa ) , 269 e , por precaução , o 273 . o interdição ser manter até novo avaliação . um equipe de limpeza ser a o local em esse domingo ( 2 ) . após novo vistoria realizar por o Defesa Civil , em o manhã de este quinta-feira ( 13 ) , apenas o prédio que ser atingir por o incêndio seguir interditar por causa de dano estrutural . o outro prédio ser liberar após o dispersão de o fumaça .Γdefesa civil remover destroco aviao cair zona norte sp defesa civil remover destroco aviao cair zona norte sp defesa civil manha realizar remocao total destroco aviao cair apos decolagem campo marte tarde dia zona norte capital tres imovel ser interditar numero casa precaucao interdicao ser manter ate novo avaliacao equipe limpeza ser apos novo vistoria realizar defesa civil manha apenas predio ser atingir incendio seguir interditar causa dano estrutural outro predio ser liberar apos dispersao fumaca
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\seguranca_urbana-defesa_civil\2018-12-02-1-3.txtΓ"








       Prédios na região central de SP são interditados  As chamas atingiram ainda  um edifício que abrigaria lojas e uma fábrica de tecidos na rua Cavalheiro Basílio Jafe
    2/12/2018  A Defesa Civil do município de São Paulo realizou, nesta manhã, as vistorias em quatro prédios localizados nas ruas Jorge Azem e da Cavalheiro Basílio Jafet, região central de São Paulo.
O prédio que foi atingido pelo incêndio segue interditado por risco iminente de colapso das estruturas. Os demais foram liberados após a dispersão da fumaça.
