Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.31,0.9099999999999999,0.3748144263969042
75% Corpus,5,0.31,symmetric,0.3500999696067354
75% Corpus,5,0.61,0.01,0.3783823376723669
75% Corpus,5,0.61,0.31,0.3669862085073678
75% Corpus,5,0.61,0.61,0.3466039193117919
75% Corpus,5,0.61,0.9099999999999999,0.4629279223088672
75% Corpus,5,0.61,symmetric,0.3627635443649656
75% Corpus,5,0.9099999999999999,0.01,0.3679443244079788
75% Corpus,5,0.9099999999999999,0.31,0.3675057373939672
75% Corpus,5,0.9099999999999999,0.61,0.3350293952947129
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4481184190306111
75% Corpus,5,0.9099999999999999,symmetric,0.3737067298721496
75% Corpus,5,symmetric,0.01,0.3581149479733114
75% Corpus,5,symmetric,0.31,0.3500504954733583
75% Corpus,5,symmetric,0.61,0.3407676407936046
75% Corpus,5,symmetric,0.9099999999999999,0.3942983182356067
75% Corpus,5,symmetric,symmetric,0.3514436873340048
75% Corpus,5,asymmetric,0.01,0.3635815035286021
75% Corpus,5,asymmetric,0.31,0.3506763244011383
75% Corpus,5,asymmetric,0.61,0.3447326910520075
75% Corpus,5,asymmetric,0.9099999999999999,0.3962008173028504
75% Corpus,5,asymmetric,symmetric,0.3602824616737359
75% Corpus,6,0.01,0.01,0.3736276398140015
75% Corpus,6,0.01,0.31,0.3767394297817912
75% Corpus,6,0.01,0.61,0.402633644567663
75% Corpus,6,0.01,0.9099999999999999,0.4311383118904626
75% Corpus,6,0.01,symmetric,0.3664493336202232
75% Corpus,6,0.31,0.01,0.3994318086415336
75% Corpus,6,0.31,0.31,0.3697861417447787
75% Corpus,6,0.31,0.61,0.4065137155704788
75% Corpus,6,0.31,0.9099999999999999,0.4655806606291126
75% Corpus,6,0.31,symmetric,0.36544838114192
75% Corpus,6,0.61,0.01,0.3945168867927526
75% Corpus,6,0.61,0.31,0.3870645285039435
75% Corpus,6,0.61,0.61,0.4122669783806822
75% Corpus,6,0.61,0.9099999999999999,0.4964771261084817
75% Corpus,6,0.61,symmetric,0.382482293248749
75% Corpus,6,0.9099999999999999,0.01,0.3972036845603772
75% Corpus,6,0.9099999999999999,0.31,0.3681756158188112
75% Corpus,6,0.9099999999999999,0.61,0.4216300250309513
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4495873991544174
75% Corpus,6,0.9099999999999999,symmetric,0.3796897427718674
75% Corpus,6,symmetric,0.01,0.3665450656156999
75% Corpus,6,symmetric,0.31,0.3854027759971837
75% Corpus,6,symmetric,0.61,0.4037674456729583
75% Corpus,6,symmetric,0.9099999999999999,0.4562669093539775
75% Corpus,6,symmetric,symmetric,0.3660871141532063
75% Corpus,6,asymmetric,0.01,0.3764232796383507
75% Corpus,6,asymmetric,0.31,0.3736988234258195
75% Corpus,6,asymmetric,0.61,0.4336522015214338
75% Corpus,6,asymmetric,0.9099999999999999,0.4777410470971385
75% Corpus,6,asymmetric,symmetric,0.3744820447267772
75% Corpus,7,0.01,0.01,0.3730501883290032
75% Corpus,7,0.01,0.31,0.3606543016281818
75% Corpus,7,0.01,0.61,0.4056290070923584
75% Corpus,7,0.01,0.9099999999999999,0.3579777613531654
75% Corpus,7,0.01,symmetric,0.3648453435901397
75% Corpus,7,0.31,0.01,0.3752086623445566
75% Corpus,7,0.31,0.31,0.3591213477452901
75% Corpus,7,0.31,0.61,0.4079247643525567
75% Corpus,7,0.31,0.9099999999999999,0.3922042638349104
75% Corpus,7,0.31,symmetric,0.3711947184392695
75% Corpus,7,0.61,0.01,0.3691115258450371
75% Corpus,7,0.61,0.31,0.3747992744392006
75% Corpus,7,0.61,0.61,0.4019681962013549
75% Corpus,7,0.61,0.9099999999999999,0.3986734425467379
75% Corpus,7,0.61,symmetric,0.3631659248419409
75% Corpus,7,0.9099999999999999,0.01,0.3666434605969577
75% Corpus,7,0.9099999999999999,0.31,0.3792079063167589
75% Corpus,7,0.9099999999999999,0.61,0.4126523947123187
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4169032248738143
75% Corpus,7,0.9099999999999999,symmetric,0.3561180291280231
75% Corpus,7,symmetric,0.01,0.3737140719696733
75% Corpus,7,symmetric,0.31,0.3734813082032632
75% Corpus,7,symmetric,0.61,0.4226739048083811
75% Corpus,7,symmetric,0.9099999999999999,0.3803202181457579
75% Corpus,7,symmetric,symmetric,0.3749592848917116
75% Corpus,7,asymmetric,0.01,0.3634498259576076
75% Corpus,7,asymmetric,0.31,0.350806192727555
75% Corpus,7,asymmetric,0.61,0.456097750010615
75% Corpus,7,asymmetric,0.9099999999999999,0.3773602035587058
75% Corpus,7,asymmetric,symmetric,0.3646477671250281
75% Corpus,8,0.01,0.01,0.3787276398716105
75% Corpus,8,0.01,0.31,0.3590575719139557
75% Corpus,8,0.01,0.61,0.4581269975635267
75% Corpus,8,0.01,0.9099999999999999,0.3479479652916312
75% Corpus,8,0.01,symmetric,0.3799659006839383
75% Corpus,8,0.31,0.01,0.3776570729699115
75% Corpus,8,0.31,0.31,0.3574415413814112
75% Corpus,8,0.31,0.61,0.4935124126429768
75% Corpus,8,0.31,0.9099999999999999,0.4324903192163526
75% Corpus,8,0.31,symmetric,0.3790879714527593
75% Corpus,8,0.61,0.01,0.372645558675425
75% Corpus,8,0.61,0.31,0.3741363246298482
75% Corpus,8,0.61,0.61,0.5096202032713177
75% Corpus,8,0.61,0.9099999999999999,0.4187151472842456
75% Corpus,8,0.61,symmetric,0.3799352982324701
75% Corpus,8,0.9099999999999999,0.01,0.3676509226061885
75% Corpus,8,0.9099999999999999,0.31,0.3669231828089553
75% Corpus,8,0.9099999999999999,0.61,0.485523077005113
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4061347226113073
75% Corpus,8,0.9099999999999999,symmetric,0.3767897818826508
75% Corpus,8,symmetric,0.01,0.380124079164421
75% Corpus,8,symmetric,0.31,0.3524713696110697
75% Corpus,8,symmetric,0.61,0.5192476840769703
75% Corpus,8,symmetric,0.9099999999999999,0.3804665471145944
75% Corpus,8,symmetric,symmetric,0.3711655847956452
75% Corpus,8,asymmetric,0.01,0.3659520197738646
75% Corpus,8,asymmetric,0.31,0.4346236336586236
75% Corpus,8,asymmetric,0.61,0.5308556585535914
75% Corpus,8,asymmetric,0.9099999999999999,0.3824176901552845
75% Corpus,8,asymmetric,symmetric,0.3534010291088401
75% Corpus,9,0.01,0.01,0.3402843129828068
75% Corpus,9,0.01,0.31,0.3319112760373752
75% Corpus,9,0.01,0.61,0.469558115501325
75% Corpus,9,0.01,0.9099999999999999,0.3743511646759805
75% Corpus,9,0.01,symmetric,0.3506164809954351
75% Corpus,9,0.31,0.01,0.3533158115416384
75% Corpus,9,0.31,0.31,0.3672755182630901
75% Corpus,9,0.31,0.61,0.4750607138936423
75% Corpus,9,0.31,0.9099999999999999,0.3899272091057164
75% Corpus,9,0.31,symmetric,0.35148829020137
75% Corpus,9,0.61,0.01,0.362657408164206
75% Corpus,9,0.61,0.31,0.3835559677147334
75% Corpus,9,0.61,0.61,0.4843203597065092
75% Corpus,9,0.61,0.9099999999999999,0.4257308106305222
75% Corpus,9,0.61,symmetric,0.3519629189996487
75% Corpus,9,0.9099999999999999,0.01,0.3696982866284342
75% Corpus,9,0.9099999999999999,0.31,0.4000592027576203
75% Corpus,9,0.9099999999999999,0.61,0.4700560190468343
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4015173500865233
75% Corpus,9,0.9099999999999999,symmetric,0.3702683152166373
75% Corpus,9,symmetric,0.01,0.3489615286081544
75% Corpus,9,symmetric,0.31,0.3382305262401364
75% Corpus,9,symmetric,0.61,0.4724659777477029
75% Corpus,9,symmetric,0.9099999999999999,0.3840952407436922
75% Corpus,9,symmetric,symmetric,0.3444993329546488
75% Corpus,9,asymmetric,0.01,0.3603749538531262
75% Corpus,9,asymmetric,0.31,0.3623824933412747
75% Corpus,9,asymmetric,0.61,0.5079475489624519
